4294A REV1.11
"DATE:     52 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: 7mm"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 801"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 16"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
2.66784350000e+04	8.074848e+02	0.000000e+00
2.66865250000e+04	8.050817e+02	0.000000e+00
2.66946180000e+04	8.026566e+02	0.000000e+00
2.67027130000e+04	8.002251e+02	0.000000e+00
2.67108100000e+04	7.977569e+02	0.000000e+00
2.67189100000e+04	7.952784e+02	0.000000e+00
2.67270130000e+04	7.928335e+02	0.000000e+00
2.67351180000e+04	7.903583e+02	0.000000e+00
2.67432250000e+04	7.878604e+02	0.000000e+00
2.67513350000e+04	7.853797e+02	0.000000e+00
2.67594470000e+04	7.828545e+02	0.000000e+00
2.67675620000e+04	7.803265e+02	0.000000e+00
2.67756790000e+04	7.778154e+02	0.000000e+00
2.67837990000e+04	7.752625e+02	0.000000e+00
2.67919210000e+04	7.727154e+02	0.000000e+00
2.68000460000e+04	7.701246e+02	0.000000e+00
2.68081730000e+04	7.675562e+02	0.000000e+00
2.68163020000e+04	7.649205e+02	0.000000e+00
2.68244340000e+04	7.623365e+02	0.000000e+00
2.68325690000e+04	7.597422e+02	0.000000e+00
2.68407060000e+04	7.570900e+02	0.000000e+00
2.68488450000e+04	7.544170e+02	0.000000e+00
2.68569870000e+04	7.517854e+02	0.000000e+00
2.68651310000e+04	7.491453e+02	0.000000e+00
2.68732780000e+04	7.464724e+02	0.000000e+00
2.68814270000e+04	7.437462e+02	0.000000e+00
2.68895790000e+04	7.410795e+02	0.000000e+00
2.68977330000e+04	7.383651e+02	0.000000e+00
2.69058900000e+04	7.356535e+02	0.000000e+00
2.69140490000e+04	7.329169e+02	0.000000e+00
2.69222110000e+04	7.301752e+02	0.000000e+00
2.69303750000e+04	7.274315e+02	0.000000e+00
2.69385410000e+04	7.246654e+02	0.000000e+00
2.69467100000e+04	7.218792e+02	0.000000e+00
2.69548820000e+04	7.190928e+02	0.000000e+00
2.69630560000e+04	7.162524e+02	0.000000e+00
2.69712320000e+04	7.133941e+02	0.000000e+00
2.69794110000e+04	7.105514e+02	0.000000e+00
2.69875930000e+04	7.076673e+02	0.000000e+00
2.69957770000e+04	7.047943e+02	0.000000e+00
2.70039630000e+04	7.018824e+02	0.000000e+00
2.70121520000e+04	6.989413e+02	0.000000e+00
2.70203430000e+04	6.960006e+02	0.000000e+00
2.70285370000e+04	6.930349e+02	0.000000e+00
2.70367340000e+04	6.900693e+02	0.000000e+00
2.70449320000e+04	6.871050e+02	0.000000e+00
2.70531340000e+04	6.841639e+02	0.000000e+00
2.70613380000e+04	6.811805e+02	0.000000e+00
2.70695440000e+04	6.781805e+02	0.000000e+00
2.70777530000e+04	6.751670e+02	0.000000e+00
2.70859640000e+04	6.721011e+02	0.000000e+00
2.70941780000e+04	6.690654e+02	0.000000e+00
2.71023940000e+04	6.659683e+02	0.000000e+00
2.71106130000e+04	6.628884e+02	0.000000e+00
2.71188340000e+04	6.597583e+02	0.000000e+00
2.71270580000e+04	6.566310e+02	0.000000e+00
2.71352840000e+04	6.534809e+02	0.000000e+00
2.71435130000e+04	6.502936e+02	0.000000e+00
2.71517440000e+04	6.471068e+02	0.000000e+00
2.71599780000e+04	6.439307e+02	0.000000e+00
2.71682140000e+04	6.407479e+02	0.000000e+00
2.71764530000e+04	6.375362e+02	0.000000e+00
2.71846940000e+04	6.343109e+02	0.000000e+00
2.71929370000e+04	6.311074e+02	0.000000e+00
2.72011840000e+04	6.278156e+02	0.000000e+00
2.72094320000e+04	6.245205e+02	0.000000e+00
2.72176840000e+04	6.212249e+02	0.000000e+00
2.72259370000e+04	6.179362e+02	0.000000e+00
2.72341930000e+04	6.146279e+02	0.000000e+00
2.72424520000e+04	6.112983e+02	0.000000e+00
2.72507130000e+04	6.079902e+02	0.000000e+00
2.72589770000e+04	6.046362e+02	0.000000e+00
2.72672430000e+04	6.012569e+02	0.000000e+00
2.72755120000e+04	5.978588e+02	0.000000e+00
2.72837830000e+04	5.944335e+02	0.000000e+00
2.72920570000e+04	5.910074e+02	0.000000e+00
2.73003330000e+04	5.875385e+02	0.000000e+00
2.73086120000e+04	5.840704e+02	0.000000e+00
2.73168930000e+04	5.805399e+02	0.000000e+00
2.73251770000e+04	5.769400e+02	0.000000e+00
2.73334640000e+04	5.733398e+02	0.000000e+00
2.73417520000e+04	5.697805e+02	0.000000e+00
2.73500440000e+04	5.661755e+02	0.000000e+00
2.73583370000e+04	5.625643e+02	0.000000e+00
2.73666340000e+04	5.589510e+02	0.000000e+00
2.73749330000e+04	5.552972e+02	0.000000e+00
2.73832340000e+04	5.515597e+02	0.000000e+00
2.73915380000e+04	5.478119e+02	0.000000e+00
2.73998440000e+04	5.440469e+02	0.000000e+00
2.74081530000e+04	5.402811e+02	0.000000e+00
2.74164650000e+04	5.364583e+02	0.000000e+00
2.74247790000e+04	5.326261e+02	0.000000e+00
2.74330950000e+04	5.287962e+02	0.000000e+00
2.74414140000e+04	5.249086e+02	0.000000e+00
2.74497360000e+04	5.210336e+02	0.000000e+00
2.74580600000e+04	5.171692e+02	0.000000e+00
2.74663870000e+04	5.132455e+02	0.000000e+00
2.74747160000e+04	5.093005e+02	0.000000e+00
2.74830470000e+04	5.053014e+02	0.000000e+00
2.74913820000e+04	5.012595e+02	0.000000e+00
2.74997180000e+04	4.972032e+02	0.000000e+00
2.75080580000e+04	4.931096e+02	0.000000e+00
2.75163990000e+04	4.889847e+02	0.000000e+00
2.75247440000e+04	4.848644e+02	0.000000e+00
2.75330900000e+04	4.807009e+02	0.000000e+00
2.75414400000e+04	4.765063e+02	0.000000e+00
2.75497920000e+04	4.722430e+02	0.000000e+00
2.75581460000e+04	4.679849e+02	0.000000e+00
2.75665030000e+04	4.636916e+02	0.000000e+00
2.75748630000e+04	4.593663e+02	0.000000e+00
2.75832250000e+04	4.549950e+02	0.000000e+00
2.75915890000e+04	4.506370e+02	0.000000e+00
2.75999560000e+04	4.462248e+02	0.000000e+00
2.76083260000e+04	4.417679e+02	0.000000e+00
2.76166980000e+04	4.372956e+02	0.000000e+00
2.76250730000e+04	4.327876e+02	0.000000e+00
2.76334500000e+04	4.282370e+02	0.000000e+00
2.76418300000e+04	4.236773e+02	0.000000e+00
2.76502120000e+04	4.191229e+02	0.000000e+00
2.76585970000e+04	4.144918e+02	0.000000e+00
2.76669840000e+04	4.098457e+02	0.000000e+00
2.76753740000e+04	4.051342e+02	0.000000e+00
