4294A REV1.04
"DATE: Jun 11 2002"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: PROBE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 601"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"	"Memory Trace Real"	"Memory Trace Imag"
7.80492190000e+04	8.529102e+02	0.000000e+00	8.463983e+02	0.000000e+00
7.82384500000e+04	8.502875e+02	0.000000e+00	8.438515e+02	0.000000e+00
7.84281390000e+04	8.479981e+02	0.000000e+00	8.413087e+02	0.000000e+00
7.86182880000e+04	8.458270e+02	0.000000e+00	8.387696e+02	0.000000e+00
7.88088990000e+04	8.428448e+02	0.000000e+00	8.362344e+02	0.000000e+00
7.89999710000e+04	8.403441e+02	0.000000e+00	8.337029e+02	0.000000e+00
7.91915070000e+04	8.381116e+02	0.000000e+00	8.311752e+02	0.000000e+00
7.93835070000e+04	8.355628e+02	0.000000e+00	8.286513e+02	0.000000e+00
7.95759730000e+04	8.325718e+02	0.000000e+00	8.261310e+02	0.000000e+00
7.97689050000e+04	8.299199e+02	0.000000e+00	8.236146e+02	0.000000e+00
7.99623050000e+04	8.278380e+02	0.000000e+00	8.211016e+02	0.000000e+00
8.01561740000e+04	8.249962e+02	0.000000e+00	8.185923e+02	0.000000e+00
8.03505130000e+04	8.226100e+02	0.000000e+00	8.160867e+02	0.000000e+00
8.05453240000e+04	8.205769e+02	0.000000e+00	8.135845e+02	0.000000e+00
8.07406060000e+04	8.179696e+02	0.000000e+00	8.110860e+02	0.000000e+00
8.09363620000e+04	8.153267e+02	0.000000e+00	8.085909e+02	0.000000e+00
8.11325930000e+04	8.131401e+02	0.000000e+00	8.060994e+02	0.000000e+00
8.13292990000e+04	8.101527e+02	0.000000e+00	8.036113e+02	0.000000e+00
8.15264820000e+04	8.076494e+02	0.000000e+00	8.011266e+02	0.000000e+00
8.17241440000e+04	8.054567e+02	0.000000e+00	7.986454e+02	0.000000e+00
8.19222840000e+04	8.028301e+02	0.000000e+00	7.961675e+02	0.000000e+00
8.21209050000e+04	8.004636e+02	0.000000e+00	7.936929e+02	0.000000e+00
8.23200080000e+04	7.979113e+02	0.000000e+00	7.912217e+02	0.000000e+00
